propertyType,price,area,province,district,municipality,wardNo,bhk,furnished,parking,roadAccess,roomType,wifi,floorNumber,meetingRoom,propertyAgeYears,popularityScore
land,41391747,2964.21,Koshi,Jhapa,Birtamode Municipality,23,0,,False,0,,False,0,False,0,41.07
home,10036742,1873.77,Koshi,Morang,Biratnagar Metropolitan City,12,2,fully-furnished,False,13,,False,4,False,36,58.0
land,27519355,4865.11,Bagmati,Chitwan,Bharatpur Metropolitan City,25,0,,False,10,,False,0,False,0,42.68
room,28926,625.17,Bagmati,Lalitpur,Lalitpur Metropolitan City,30,2,fully-furnished,True,20,2bhk,False,4,False,30,47.84
office,70900,2319.52,Bagmati,Chitwan,Bharatpur Metropolitan City,14,0,fully-furnished,True,10,,False,6,False,16,40.57
office,20906,2870.61,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,26,0,semi-furnished,False,0,,False,3,True,30,20.63
land,3401255,1750.75,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,17,0,,False,30,,False,0,False,0,50.49
home,29151185,907.24,Bagmati,Lalitpur,Lalitpur Metropolitan City,11,4,semi-furnished,True,10,,False,2,False,9,69.46
home,32170534,1683.4,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,9,3,semi-furnished,True,10,,False,2,False,20,54.24
home,35882783,4726.04,Gandaki,Kaski,Pokhara Metropolitan City,26,4,unfurnished,True,13,,False,2,False,28,63.31
home,40897704,1740.1,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,11,3,unfurnished,True,0,,False,2,False,15,65.28
land,3008925,1780.86,Bagmati,Bhaktapur,Bhaktapur Municipality,7,0,,False,0,,False,0,False,0,37.16
home,16756612,3996.81,Koshi,Jhapa,Birtamode Municipality,15,5,semi-furnished,False,10,,False,2,False,19,57.14
land,3610206,4524.67,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,10,0,,False,30,,False,0,False,0,59.01
room,29512,875.82,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,21,1,unfurnished,False,10,studio,True,4,False,10,45.35
land,17840268,3069.79,Koshi,Jhapa,Birtamode Municipality,13,0,,False,0,,False,0,False,0,38.43
land,19499042,4090.99,Bagmati,Kathmandu,Kathmandu Metropolitan City,26,0,,False,10,,False,0,False,0,57.94
home,15103094,4970.16,Bagmati,Bhaktapur,Bhaktapur Municipality,28,2,semi-furnished,False,16,,False,4,False,13,62.68
land,36972656,4512.82,Gandaki,Kaski,Pokhara Metropolitan City,27,0,,False,25,,False,0,False,0,46.77
office,115697,4664.32,Bagmati,Kathmandu,Kathmandu Metropolitan City,26,0,semi-furnished,True,30,,False,8,True,13,67.6
room,10264,314.24,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,4,1,unfurnished,False,10,1bhk,False,2,False,20,29.35
land,22965636,3453.35,Bagmati,Chitwan,Bharatpur Metropolitan City,3,0,,False,25,,False,0,False,0,47.71
home,48486796,1935.04,Bagmati,Kathmandu,Kathmandu Metropolitan City,32,4,semi-furnished,False,20,,False,2,False,27,69.38
office,141373,2044.88,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,9,0,fully-furnished,False,30,,False,3,True,2,75.69
office,106816,4082.8,Gandaki,Kaski,Pokhara Metropolitan City,13,0,semi-furnished,False,30,,False,5,False,4,57.2
office,83661,1780.79,Bagmati,Chitwan,Bharatpur Metropolitan City,18,0,unfurnished,True,0,,False,4,False,36,38.9
room,41166,331.92,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,5,2,fully-furnished,False,13,single,False,5,False,22,56.64
home,34294267,4055.33,Gandaki,Kaski,Pokhara Metropolitan City,27,3,fully-furnished,True,10,,False,2,False,37,54.86
office,40571,914.58,Bagmati,Chitwan,Bharatpur Metropolitan City,7,0,unfurnished,True,25,,False,2,False,39,29.46
room,8267,326.33,Bagmati,Chitwan,Bharatpur Metropolitan City,15,0,fully-furnished,False,16,2bhk,True,2,False,29,39.45
room,49744,370.15,Gandaki,Kaski,Pokhara Metropolitan City,32,1,semi-furnished,False,16,2bhk,False,1,False,27,44.38
home,40289839,1661.12,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,9,5,unfurnished,False,0,,False,3,False,34,42.69
land,28797967,2945.27,Bagmati,Chitwan,Bharatpur Metropolitan City,25,0,,False,25,,False,0,False,0,67.94
home,29835506,3217.25,Bagmati,Lalitpur,Lalitpur Metropolitan City,17,4,semi-furnished,False,25,,False,3,False,25,57.43
room,48863,718.03,Bagmati,Kathmandu,Kathmandu Metropolitan City,28,1,unfurnished,False,10,2bhk,True,1,False,27,46.29
home,13008114,2458.88,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,13,1,unfurnished,True,20,,False,2,False,26,48.68
office,32970,922.32,Bagmati,Lalitpur,Lalitpur Metropolitan City,26,0,semi-furnished,False,13,,False,6,False,32,54.47
room,42258,549.34,Koshi,Jhapa,Birtamode Municipality,22,2,semi-furnished,False,13,studio,False,1,False,30,50.87
room,8374,487.86,Bagmati,Bhaktapur,Bhaktapur Municipality,31,0,fully-furnished,False,20,studio,False,5,False,25,35.08
home,28985601,3669.83,Koshi,Jhapa,Birtamode Municipality,19,1,semi-furnished,False,13,,False,3,False,20,44.63
home,25302886,4545.45,Bagmati,Lalitpur,Lalitpur Metropolitan City,12,3,fully-furnished,False,13,,False,1,False,9,75.43
home,33574995,4631.03,Gandaki,Kaski,Pokhara Metropolitan City,27,1,unfurnished,True,30,,False,3,False,30,57.4
land,19451765,785.48,Bagmati,Kathmandu,Kathmandu Metropolitan City,29,0,,False,16,,False,0,False,0,56.5
land,20970489,4182.53,Gandaki,Kaski,Pokhara Metropolitan City,20,0,,False,10,,False,0,False,0,49.05
office,124505,1114.78,Gandaki,Kaski,Pokhara Metropolitan City,4,0,unfurnished,False,25,,False,1,True,1,42.19
land,41814854,1857.19,Bagmati,Chitwan,Bharatpur Metropolitan City,14,0,,False,0,,False,0,False,0,42.79
land,41645068,3264.42,Koshi,Jhapa,Birtamode Municipality,31,0,,False,16,,False,0,False,0,41.14
room,44388,991.03,Bagmati,Bhaktapur,Bhaktapur Municipality,22,1,fully-furnished,True,13,studio,False,5,False,0,55.22
room,31195,517.63,Bagmati,Chitwan,Bharatpur Metropolitan City,3,2,unfurnished,False,13,1bhk,True,5,False,10,53.17
home,27601082,3642.69,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,17,5,unfurnished,True,10,,False,4,False,0,55.63
room,10902,232.42,Bagmati,Bhaktapur,Bhaktapur Municipality,18,1,fully-furnished,False,20,1bhk,True,3,False,16,51.91
land,23949971,1522.2,Bagmati,Chitwan,Bharatpur Metropolitan City,30,0,,False,10,,False,0,False,0,45.81
home,34529141,3166.79,Bagmati,Kathmandu,Kathmandu Metropolitan City,7,4,semi-furnished,False,20,,False,4,False,29,64.42
room,12370,690.68,Koshi,Morang,Biratnagar Metropolitan City,8,2,unfurnished,False,20,2bhk,True,2,False,0,57.14
home,39896590,4104.17,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,21,4,unfurnished,False,0,,False,4,False,10,49.42
home,33814056,4878.51,Gandaki,Kaski,Pokhara Metropolitan City,11,1,unfurnished,False,25,,False,4,False,39,57.57
home,37250208,2563.96,Bagmati,Chitwan,Bharatpur Metropolitan City,30,3,unfurnished,True,0,,False,4,False,12,60.2
office,97379,1154.43,Bagmati,Kathmandu,Kathmandu Metropolitan City,26,0,fully-furnished,True,13,,False,2,True,29,54.72
home,30601011,4071.55,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,19,3,semi-furnished,False,16,,False,1,False,26,45.32
home,14691306,2732.71,Bagmati,Bhaktapur,Bhaktapur Municipality,9,2,unfurnished,False,0,,False,4,False,39,31.02
land,18300753,4500.78,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,10,0,,False,16,,False,0,False,0,36.98
land,21302782,2060.34,Bagmati,Kathmandu,Kathmandu Metropolitan City,28,0,,False,30,,False,0,False,0,91.27
office,92376,3454.16,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,4,0,semi-furnished,False,16,,False,6,False,4,53.1
office,46545,1775.61,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,32,0,unfurnished,True,30,,False,1,False,13,39.46
land,24502055,3207.7,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,23,0,,False,16,,False,0,False,0,38.91
room,47880,558.93,Bagmati,Kathmandu,Kathmandu Metropolitan City,24,2,fully-furnished,False,20,double,False,5,False,16,61.08
office,132885,2768.08,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,14,0,fully-furnished,True,25,,False,8,False,5,64.22
home,17106889,3661.29,Bagmati,Bhaktapur,Bhaktapur Municipality,26,1,unfurnished,True,25,,False,3,False,5,70.18
land,46422165,4692.11,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,10,0,,False,30,,False,0,False,0,50.4
office,37539,2700.49,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,7,0,fully-furnished,False,0,,False,7,False,38,24.92
land,11855361,2655.13,Bagmati,Kathmandu,Kathmandu Metropolitan City,4,0,,False,10,,False,0,False,0,55.47
home,45714637,2428.01,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,10,2,fully-furnished,False,25,,False,4,False,19,69.69
land,5968810,3769.55,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,16,0,,False,16,,False,0,False,0,28.8
room,35116,559.93,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,30,1,fully-furnished,False,13,2bhk,False,1,False,25,39.47
office,120393,3776.75,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,16,0,fully-furnished,True,0,,False,6,False,21,31.65
room,10145,708.51,Bagmati,Kathmandu,Kathmandu Metropolitan City,29,1,fully-furnished,True,20,studio,True,5,False,8,64.57
room,41364,380.06,Bagmati,Chitwan,Bharatpur Metropolitan City,3,1,fully-furnished,True,13,single,False,4,False,30,67.08
land,46498394,4725.7,Bagmati,Kathmandu,Kathmandu Metropolitan City,10,0,,False,30,,False,0,False,0,66.41
land,32794294,2422.56,Koshi,Morang,Biratnagar Metropolitan City,13,0,,False,0,,False,0,False,0,38.61
office,96386,3795.18,Koshi,Morang,Biratnagar Metropolitan City,5,0,unfurnished,False,30,,False,8,False,34,44.53
home,25303998,3483.0,Bagmati,Kathmandu,Kathmandu Metropolitan City,15,3,semi-furnished,False,20,,False,3,False,16,72.67
office,119782,416.28,Koshi,Jhapa,Birtamode Municipality,19,0,fully-furnished,False,25,,False,7,False,1,55.67
office,100367,4706.87,Bagmati,Lalitpur,Lalitpur Metropolitan City,14,0,semi-furnished,False,10,,False,8,True,7,51.33
office,140192,2429.13,Koshi,Morang,Biratnagar Metropolitan City,24,0,fully-furnished,True,25,,False,8,True,6,78.67
office,37918,3640.15,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,14,0,unfurnished,True,13,,False,6,False,10,24.6
home,30227246,2060.36,Gandaki,Kaski,Pokhara Metropolitan City,12,3,fully-furnished,False,25,,False,3,False,34,74.82
office,81153,412.64,Gandaki,Kaski,Pokhara Metropolitan City,25,0,fully-furnished,False,13,,False,7,False,16,36.26
home,47425519,2250.58,Koshi,Jhapa,Birtamode Municipality,8,5,semi-furnished,False,25,,False,1,False,40,65.07
room,36963,482.23,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,8,0,semi-furnished,True,10,double,True,5,False,21,30.58
office,143573,3333.99,Bagmati,Lalitpur,Lalitpur Metropolitan City,5,0,semi-furnished,True,10,,False,5,False,30,39.46
land,16649651,4214.38,Koshi,Jhapa,Birtamode Municipality,17,0,,False,25,,False,0,False,0,47.49
office,36837,421.4,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,19,0,unfurnished,True,20,,False,7,False,40,39.95
home,33504649,4210.01,Gandaki,Kaski,Pokhara Metropolitan City,2,3,unfurnished,True,20,,False,4,False,11,73.13
home,35848582,2383.87,Bagmati,Lalitpur,Lalitpur Metropolitan City,27,1,unfurnished,False,16,,False,4,False,27,42.54
land,29451382,4988.74,Bagmati,Lalitpur,Lalitpur Metropolitan City,9,0,,False,10,,False,0,False,0,49.62
home,13590333,1364.59,Bagmati,Chitwan,Bharatpur Metropolitan City,3,2,unfurnished,True,13,,False,1,False,4,53.29
office,136798,2902.52,Gandaki,Kaski,Pokhara Metropolitan City,28,0,semi-furnished,False,13,,False,1,True,30,33.47
land,23429890,1343.8,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,21,0,,False,13,,False,0,False,0,48.8
land,44391499,1963.19,Koshi,Jhapa,Birtamode Municipality,18,0,,False,10,,False,0,False,0,42.8
home,25404144,1063.2,Gandaki,Kaski,Pokhara Metropolitan City,23,4,semi-furnished,False,13,,False,2,False,24,84.13
land,11606086,1759.23,Bagmati,Kathmandu,Kathmandu Metropolitan City,25,0,,False,16,,False,0,False,0,60.86
land,46140655,3860.78,Gandaki,Kaski,Pokhara Metropolitan City,23,0,,False,16,,False,0,False,0,41.28
room,39848,675.42,Koshi,Morang,Biratnagar Metropolitan City,11,2,semi-furnished,False,0,shared,True,1,False,6,35.98
room,29923,975.52,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,1,1,fully-furnished,True,13,shared,False,5,False,12,55.21
home,40966571,3040.47,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,12,2,unfurnished,True,13,,False,4,False,15,74.24
land,21521598,4678.15,Gandaki,Kaski,Pokhara Metropolitan City,17,0,,False,16,,False,0,False,0,37.9
room,20974,363.17,Bagmati,Lalitpur,Lalitpur Metropolitan City,31,1,semi-furnished,True,0,shared,False,5,False,16,18.02
room,8529,157.17,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,14,1,fully-furnished,False,13,double,False,4,False,20,45.47
office,26785,2715.01,Koshi,Jhapa,Birtamode Municipality,7,0,unfurnished,False,20,,False,1,True,6,46.34
office,47017,703.14,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,16,0,unfurnished,True,13,,False,2,True,16,31.25
office,42391,2813.85,Gandaki,Kaski,Pokhara Metropolitan City,31,0,unfurnished,True,30,,False,1,False,35,51.92
office,108000,513.09,Bagmati,Lalitpur,Lalitpur Metropolitan City,7,0,semi-furnished,False,16,,False,5,True,21,24.27
land,46734700,3461.95,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,27,0,,False,30,,False,0,False,0,58.66
home,49060036,4252.27,Bagmati,Kathmandu,Kathmandu Metropolitan City,28,2,fully-furnished,True,13,,False,3,False,11,75.16
land,15394080,842.93,Gandaki,Kaski,Pokhara Metropolitan City,26,0,,False,10,,False,0,False,0,58.97
home,48421577,4471.97,Bagmati,Kathmandu,Kathmandu Metropolitan City,28,3,unfurnished,True,25,,False,3,False,8,63.66
room,18053,186.25,Bagmati,Bhaktapur,Bhaktapur Municipality,7,0,semi-furnished,False,16,single,True,3,False,2,40.58
room,34332,117.18,Bagmati,Chitwan,Bharatpur Metropolitan City,10,2,fully-furnished,True,20,double,True,2,False,27,28.25
room,28939,128.36,Bagmati,Bhaktapur,Bhaktapur Municipality,3,1,unfurnished,True,10,2bhk,True,1,False,11,28.65
home,49510281,1201.54,Koshi,Jhapa,Birtamode Municipality,2,5,fully-furnished,True,0,,False,2,False,16,54.73
room,14621,301.26,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,14,1,fully-furnished,True,13,double,False,1,False,25,29.67
home,22056588,3878.34,Gandaki,Kaski,Pokhara Metropolitan City,16,3,semi-furnished,False,13,,False,2,False,13,53.15
home,24995022,2053.28,Bagmati,Chitwan,Bharatpur Metropolitan City,26,5,semi-furnished,False,30,,False,1,False,11,79.42
office,42789,1208.64,Bagmati,Chitwan,Bharatpur Metropolitan City,28,0,unfurnished,True,25,,False,6,True,27,52.34
office,95084,1600.62,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,16,0,unfurnished,False,10,,False,8,True,22,33.05
land,28746203,3659.94,Koshi,Jhapa,Birtamode Municipality,22,0,,False,16,,False,0,False,0,46.68
room,33564,340.76,Koshi,Morang,Biratnagar Metropolitan City,5,1,semi-furnished,True,20,single,False,4,False,9,31.91
room,32213,804.48,Bagmati,Lalitpur,Lalitpur Metropolitan City,31,1,fully-furnished,False,20,2bhk,False,2,False,9,55.53
room,28826,490.87,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,26,1,semi-furnished,True,20,1bhk,False,2,False,24,43.05
room,21274,238.69,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,16,2,semi-furnished,True,13,single,False,4,False,2,61.78
office,117641,4769.24,Bagmati,Bhaktapur,Bhaktapur Municipality,27,0,unfurnished,True,13,,False,5,True,18,32.79
room,45863,321.72,Koshi,Jhapa,Birtamode Municipality,28,0,semi-furnished,True,16,2bhk,True,3,False,18,50.52
home,28789060,2544.18,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,5,2,unfurnished,True,0,,False,4,False,32,52.95
office,23030,437.37,Gandaki,Kaski,Pokhara Metropolitan City,6,0,semi-furnished,True,16,,False,3,False,3,54.82
home,23379083,4760.54,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,1,5,unfurnished,False,30,,False,4,False,35,76.49
home,43509806,3874.05,Bagmati,Kathmandu,Kathmandu Metropolitan City,25,2,fully-furnished,True,0,,False,3,False,25,63.36
room,29188,457.17,Gandaki,Kaski,Pokhara Metropolitan City,29,1,fully-furnished,True,16,2bhk,False,3,False,24,52.99
home,35870714,3310.96,Koshi,Jhapa,Birtamode Municipality,13,2,unfurnished,False,0,,False,2,False,25,38.18
land,30756994,1480.54,Bagmati,Chitwan,Bharatpur Metropolitan City,8,0,,False,25,,False,0,False,0,67.57
room,34869,179.59,Koshi,Jhapa,Birtamode Municipality,30,2,unfurnished,True,16,2bhk,True,2,False,10,42.56
land,29147587,1150.98,Gandaki,Kaski,Pokhara Metropolitan City,3,0,,False,0,,False,0,False,0,40.9
room,24180,202.23,Bagmati,Bhaktapur,Bhaktapur Municipality,2,1,unfurnished,True,0,double,True,2,False,8,17.52
home,33136200,4654.1,Bagmati,Chitwan,Bharatpur Metropolitan City,31,4,unfurnished,True,25,,False,3,False,34,57.72
room,43749,842.97,Bagmati,Lalitpur,Lalitpur Metropolitan City,3,1,fully-furnished,True,0,studio,False,5,False,6,43.51
land,9116362,4607.45,Bagmati,Kathmandu,Kathmandu Metropolitan City,17,0,,False,0,,False,0,False,0,43.78
land,42615360,3186.87,Koshi,Jhapa,Birtamode Municipality,19,0,,False,25,,False,0,False,0,63.05
land,47033963,4348.21,Bagmati,Lalitpur,Lalitpur Metropolitan City,4,0,,False,10,,False,0,False,0,46.17
home,12990648,4383.51,Bagmati,Kathmandu,Kathmandu Metropolitan City,27,4,unfurnished,True,25,,False,1,False,39,62.39
home,18460171,1406.39,Bagmati,Kathmandu,Kathmandu Metropolitan City,19,3,unfurnished,False,13,,False,3,False,9,65.12
home,33552614,1629.42,Bagmati,Kathmandu,Kathmandu Metropolitan City,21,1,unfurnished,False,20,,False,1,False,31,63.6
home,26738271,1046.79,Bagmati,Lalitpur,Lalitpur Metropolitan City,25,4,fully-furnished,True,30,,False,4,False,7,68.4
home,25765970,3248.46,Gandaki,Kaski,Pokhara Metropolitan City,7,1,fully-furnished,False,16,,False,1,False,10,60.32
land,11893267,1095.67,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,19,0,,False,30,,False,0,False,0,56.55
office,139097,1790.43,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,20,0,semi-furnished,True,30,,False,4,False,30,58.97
room,36095,442.51,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,32,1,unfurnished,True,10,1bhk,True,1,False,29,24.54
room,32834,691.86,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,8,0,unfurnished,False,10,double,True,1,False,11,20.32
land,8529848,3752.94,Bagmati,Chitwan,Bharatpur Metropolitan City,5,0,,False,13,,False,0,False,0,51.65
room,36399,469.87,Gandaki,Kaski,Pokhara Metropolitan City,4,1,semi-furnished,True,16,1bhk,False,3,False,10,44.37
room,40561,781.89,Bagmati,Bhaktapur,Bhaktapur Municipality,12,1,fully-furnished,True,10,2bhk,False,3,False,15,40.76
office,139917,2746.8,Bagmati,Lalitpur,Lalitpur Metropolitan City,18,0,semi-furnished,False,16,,False,5,True,3,51.74
room,49200,631.76,Bagmati,Kathmandu,Kathmandu Metropolitan City,7,1,semi-furnished,False,13,2bhk,False,2,False,11,47.8
room,20073,866.56,Koshi,Morang,Biratnagar Metropolitan City,10,2,unfurnished,True,16,double,False,4,False,4,42.07
office,70171,421.68,Koshi,Morang,Biratnagar Metropolitan City,24,0,fully-furnished,False,0,,False,1,True,18,17.8
land,28372053,721.9,Bagmati,Chitwan,Bharatpur Metropolitan City,15,0,,False,20,,False,0,False,0,60.61
home,39356470,970.21,Koshi,Jhapa,Birtamode Municipality,17,4,fully-furnished,True,0,,False,4,False,26,67.96
land,9730388,4949.58,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,18,0,,False,16,,False,0,False,0,48.72
home,16307879,2781.19,Bagmati,Bhaktapur,Bhaktapur Municipality,1,2,unfurnished,True,0,,False,3,False,10,42.07
home,17145449,3119.3,Bagmati,Bhaktapur,Bhaktapur Municipality,10,2,unfurnished,True,13,,False,1,False,34,48.35
office,88945,4371.74,Bagmati,Chitwan,Bharatpur Metropolitan City,21,0,fully-furnished,False,20,,False,5,True,0,59.47
land,40194738,3823.05,Bagmati,Chitwan,Bharatpur Metropolitan City,3,0,,False,13,,False,0,False,0,53.06
land,9830329,2304.01,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,15,0,,False,25,,False,0,False,0,61.5
home,26100272,3601.46,Bagmati,Lalitpur,Lalitpur Metropolitan City,23,2,semi-furnished,False,10,,False,2,False,33,46.97
land,45919916,1943.85,Bagmati,Bhaktapur,Bhaktapur Municipality,28,0,,False,25,,False,0,False,0,59.85
office,80864,3114.34,Koshi,Morang,Biratnagar Metropolitan City,3,0,unfurnished,True,0,,False,3,True,4,45.0
room,29589,659.85,Bagmati,Kathmandu,Kathmandu Metropolitan City,7,1,semi-furnished,True,20,shared,True,5,False,24,65.73
room,34869,522.58,Bagmati,Lalitpur,Lalitpur Metropolitan City,19,2,semi-furnished,True,20,single,True,1,False,20,59.34
home,28109130,2419.21,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,2,4,unfurnished,True,25,,False,2,False,29,65.48
land,47335693,1118.59,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,10,0,,False,20,,False,0,False,0,51.23
room,34378,839.82,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,16,0,semi-furnished,False,20,shared,False,4,False,25,53.57
room,26235,590.26,Koshi,Morang,Biratnagar Metropolitan City,2,1,unfurnished,True,16,1bhk,False,5,False,20,39.78
room,42067,904.48,Bagmati,Kathmandu,Kathmandu Metropolitan City,23,2,fully-furnished,False,0,2bhk,True,4,False,10,46.38
office,119109,1397.58,Koshi,Jhapa,Birtamode Municipality,16,0,semi-furnished,False,16,,False,1,True,25,53.9
home,19943178,2540.37,Koshi,Morang,Biratnagar Metropolitan City,29,4,unfurnished,True,13,,False,1,False,8,66.36
home,18049404,2950.52,Koshi,Morang,Biratnagar Metropolitan City,2,4,unfurnished,False,20,,False,2,False,40,48.86
room,40695,371.16,Koshi,Jhapa,Birtamode Municipality,18,1,semi-furnished,True,20,shared,True,2,False,23,36.86
room,41573,291.33,Bagmati,Bhaktapur,Bhaktapur Municipality,12,0,fully-furnished,False,0,studio,True,3,False,3,44.78
room,34104,948.07,Koshi,Morang,Biratnagar Metropolitan City,16,0,semi-furnished,False,13,studio,False,5,False,29,37.88
office,93806,4220.25,Bagmati,Kathmandu,Kathmandu Metropolitan City,12,0,semi-furnished,True,10,,False,5,True,23,49.98
land,17287136,4986.02,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,16,0,,False,10,,False,0,False,0,47.59
room,22564,422.95,Bagmati,Bhaktapur,Bhaktapur Municipality,19,0,semi-furnished,True,20,studio,True,1,False,8,63.94
home,46422048,2447.7,Bagmati,Kathmandu,Kathmandu Metropolitan City,28,5,fully-furnished,False,10,,False,1,False,31,77.1
home,6774546,4282.73,Bagmati,Chitwan,Bharatpur Metropolitan City,9,3,fully-furnished,False,16,,False,2,False,7,67.73
home,30665767,4579.36,Koshi,Morang,Biratnagar Metropolitan City,12,5,fully-furnished,False,30,,False,1,False,25,78.81
home,19458526,3956.4,Gandaki,Kaski,Pokhara Metropolitan City,23,1,fully-furnished,True,20,,False,1,False,19,57.12
room,10954,266.45,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,1,2,fully-furnished,True,0,1bhk,True,2,False,6,41.49
home,10687652,3337.62,Koshi,Morang,Biratnagar Metropolitan City,32,5,fully-furnished,True,0,,False,1,False,11,77.83
office,44144,2070.88,Koshi,Morang,Biratnagar Metropolitan City,7,0,semi-furnished,False,25,,False,5,False,4,50.43
room,28257,972.84,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,23,0,unfurnished,False,20,1bhk,True,2,False,0,37.83
room,23357,223.04,Bagmati,Chitwan,Bharatpur Metropolitan City,14,0,semi-furnished,False,16,1bhk,True,3,False,10,30.32
room,24060,760.53,Koshi,Jhapa,Birtamode Municipality,29,2,fully-furnished,True,20,shared,False,2,False,21,40.26
land,31716432,4888.35,Bagmati,Lalitpur,Lalitpur Metropolitan City,29,0,,False,16,,False,0,False,0,45.86
room,38862,410.14,Koshi,Jhapa,Birtamode Municipality,4,2,fully-furnished,True,0,1bhk,True,5,False,2,42.73
office,29722,2211.86,Koshi,Morang,Biratnagar Metropolitan City,4,0,unfurnished,True,10,,False,3,True,4,33.91
office,109096,3242.5,Bagmati,Lalitpur,Lalitpur Metropolitan City,31,0,semi-furnished,True,16,,False,8,False,13,48.54
home,37634664,1434.91,Koshi,Morang,Biratnagar Metropolitan City,9,1,unfurnished,False,20,,False,2,False,4,67.71
office,68186,3341.47,Bagmati,Bhaktapur,Bhaktapur Municipality,19,0,semi-furnished,True,16,,False,2,True,18,42.7
room,9895,119.42,Bagmati,Bhaktapur,Bhaktapur Municipality,13,1,semi-furnished,False,10,1bhk,True,2,False,22,35.63
home,28124346,1890.54,Bagmati,Lalitpur,Lalitpur Metropolitan City,10,5,unfurnished,False,16,,False,2,False,8,73.16
room,44290,541.8,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,7,1,unfurnished,False,16,shared,True,3,False,28,46.64
home,23440904,1195.84,Gandaki,Kaski,Pokhara Metropolitan City,3,1,semi-furnished,False,10,,False,4,False,25,48.93
home,19786027,2669.49,Bagmati,Chitwan,Bharatpur Metropolitan City,28,3,fully-furnished,True,16,,False,2,False,17,75.25
room,24312,966.01,Koshi,Morang,Biratnagar Metropolitan City,15,2,semi-furnished,False,13,studio,False,4,False,8,36.43
office,40937,3066.8,Sudurpashchim,Kailali,Dhangadhi Sub-Metropolitan City,19,0,fully-furnished,False,30,,False,5,False,7,62.15
room,28637,662.93,Bagmati,Kathmandu,Kathmandu Metropolitan City,27,0,semi-furnished,True,20,studio,False,4,False,17,52.89
land,6639757,4219.22,Koshi,Morang,Biratnagar Metropolitan City,10,0,,False,30,,False,0,False,0,58.94
home,38030312,4478.43,Koshi,Jhapa,Birtamode Municipality,29,2,unfurnished,True,25,,False,3,False,1,53.91
home,23071805,3676.22,Lumbini,Rupandehi,Butwal Sub-Metropolitan City,17,2,fully-furnished,True,20,,False,1,False,19,57.85
room,20837,267.44,Koshi,Jhapa,Birtamode Municipality,1,1,semi-furnished,False,20,2bhk,True,3,False,29,37.98
